Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Contínuo);Conceito Enade (Faixa);Observação
2019;6208;ENGENHARIA DE PRODUÇÃO;1396;Centro Universitário Dinâmica das Cataratas;UDC;Centro Universitário;Privada com fins lucrativos;1138833;Educação Presencial;4108304;Foz do Iguaçu;PR;19;19;409.684;27.427;473.211;29.505;28.985;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1409;FACULDADE DO CENTRO LESTE;UCL;Faculdade;Privada com fins lucrativos;118694;Educação Presencial;3205002;Serra;ES;26;25;51.824;4.059;50.928;33.714;35.433;4;
2019;6208;ENGENHARIA DE PRODUÇÃO;1410;Faculdade Área1 Wyden;Área1 Wyden;Faculdade;Privada com fins lucrativos;49075;Educação Presencial;2927408;Salvador;BA;128;115;393.026;25.407;36.027;16.325;18.595;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1412;FACULDADE ANHANGUERA DE JUNDIAÍ;;Faculdade;Privada com fins lucrativos;36374;Educação Presencial;3525904;Jundiaí;SP;38;14;355.429;20.848;371.286;17.611;1.842;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1417;FACULDADE CNEC CAMPO LARGO;;Faculdade;Privada sem fins lucrativos;1284796;Educação Presencial;4104204;Campo Largo;PR;24;24;38.1;23.949;386.333;19.367;20.512;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1418;CENTRO UNIVERSITÁRIO TOLEDO;UNITOLEDO;Centro Universitário;Privada com fins lucrativos;1258750;Educação Presencial;3502804;Araçatuba;SP;18;16;358.312;21.198;475.063;29.721;2.759;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1422;CENTRO UNIVERSITÁRIO DO NORTE;UNINORTE;Centro Universitário;Privada com fins lucrativos;107008;Educação Presencial;1302603;Manaus;AM;73;65;28.26;12.017;307.846;10.207;1.066;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1423;Faculdade Ideal Wyden;Faci Wyden;Faculdade;Privada com fins lucrativos;1157257;Educação Presencial;1501402;Belém;PA;18;14;28.55;12.368;337.571;13.676;13.349;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1426;INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA;ILES;Faculdade;Privada sem fins lucrativos;1205020;Educação Presencial;5211503;Itumbiara;GO;34;33;356.152;20.936;362.818;16.622;17.701;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;FSG;Centro Universitário;Privada com fins lucrativos;1059809;Educação Presencial;4305108;Caxias do Sul;RS;34;30;425.467;29.341;430.667;2.454;2.574;3;
